date,home_team,away_team,home_goals,away_goals,tournament
2019-10-07,Chile,Australia,0,0,Continental Cup
2019-10-07,Turkey,Poland,4,5,Friendly
2019-10-08,Brazil,England,2,3,Continental Cup
2019-10-09,Uzbekistan,Croatia,0,2,Friendly
2019-10-10,Austria,Argentina,2,1,Continental Cup
2019-10-11,Egypt,Poland,1,1,WC Qualifier
2019-10-12,Jamaica,Poland,2,3,Friendly
2019-10-13,Qatar,United States,1,0,Nations League
2019-10-14,Peru,Italy,2,1,WC Qualifier
2019-10-15,South Korea,Uruguay,5,4,Continental Cup
2019-10-16,Argentina,Wales,1,0,WC Qualifier
2019-10-16,Jamaica,Poland,5,4,WC Qualifier
2019-10-17,Uzbekistan,Panama,3,2,Continental Cup
2019-10-18,Jordan,Colombia,1,2,Friendly
2019-10-19,Japan,Nigeria,2,0,WC Qualifier
2019-10-20,Ukraine,Scotland,1,0,Friendly
2019-10-21,Belgium,France,0,0,Friendly
2019-10-22,Iran,Morocco,0,0,Nations League
2019-10-23,Japan,United States,5,4,Nations League
2019-10-24,Senegal,Italy,2,2,Nations League
2019-10-25,Wales,Canada,2,3,Friendly
2019-10-25,Uruguay,Saudi Arabia,2,0,Continental Cup
2019-10-26,Wales,Turkey,2,2,WC Qualifier
2019-10-27,Egypt,Uzbekistan,1,0,Friendly
2019-10-28,Nigeria,Netherlands,1,1,Friendly
2019-10-29,Saudi Arabia,Poland,0,1,Nations League
2019-10-30,Jordan,Saudi Arabia,0,0,Friendly
2019-10-31,Jamaica,Tunisia,0,1,WC Qualifier
2019-11-01,Switzerland,Chile,2,1,Friendly
2019-11-02,Colombia,New Zealand,5,5,WC Qualifier
2019-11-03,Italy,Ecuador,2,1,WC Qualifier
2019-11-04,Wales,Chile,2,1,Nations League
2019-11-04,Panama,Saudi Arabia,1,2,Continental Cup
2019-11-05,Qatar,Wales,4,3,Continental Cup
2019-11-06,Portugal,Panama,1,0,Continental Cup
2019-11-07,Austria,Australia,1,0,Nations League
2019-11-08,Iran,France,1,2,Nations League
2019-11-09,Belgium,Egypt,1,0,Nations League
2019-11-10,Canada,Tunisia,3,1,Nations League
2019-11-11,Austria,Spain,1,2,Friendly
2019-11-12,Serbia,Qatar,1,1,WC Qualifier
2019-11-13,Germany,Qatar,6,5,WC Qualifier
2019-11-13,Peru,Spain,0,0,Continental Cup
2019-11-14,Morocco,Chile,5,4,Nations League
2019-11-15,Belgium,Algeria,1,0,Friendly
2019-11-16,Netherlands,Germany,4,1,Nations League
2019-11-17,Denmark,New Zealand,3,0,Continental Cup
2019-11-18,Saudi Arabia,Colombia,2,1,Friendly
2019-11-19,Colombia,Denmark,3,0,Friendly
2019-11-20,Colombia,Peru,0,1,Friendly
2019-11-21,Wales,Algeria,0,3,Nations League
2019-11-22,Germany,Denmark,1,1,Friendly
2019-11-22,Argentina,France,4,3,Friendly
2019-11-23,Poland,England,3,4,Nations League
2019-11-24,Algeria,Wales,2,1,Friendly
2019-11-25,Curacao,England,0,1,Friendly
2019-11-26,Peru,Uruguay,1,2,Friendly
2019-11-27,Iran,New Zealand,4,5,Friendly
2019-11-28,Cape Verde,Algeria,3,3,Friendly
2019-11-29,England,United States,2,2,WC Qualifier
2019-11-30,Switzerland,Colombia,0,0,Friendly
2019-12-01,Belgium,France,4,3,Friendly
2019-12-02,Brazil,Nigeria,2,0,Continental Cup
2019-12-02,New Zealand,Uzbekistan,4,0,WC Qualifier
2019-12-03,Morocco,Chile,1,0,Continental Cup
2019-12-04,Jordan,Switzerland,2,3,Friendly
2019-12-05,Jordan,Belgium,0,1,Friendly
2019-12-06,Qatar,Costa Rica,2,1,Continental Cup
2019-12-07,Canada,Peru,3,3,Nations League
2019-12-08,United States,Austria,1,2,Friendly
2019-12-09,Colombia,Austria,4,0,Continental Cup
2019-12-10,Spain,Turkey,1,0,Continental Cup
2019-12-11,Spain,Belgium,3,3,Nations League
2019-12-11,Austria,Denmark,3,2,WC Qualifier
2019-12-12,Italy,Brazil,0,1,WC Qualifier
2019-12-13,Ukraine,Tunisia,2,2,Friendly
2019-12-14,Brazil,Chile,2,1,Friendly
2019-12-15,Switzerland,Germany,1,1,WC Qualifier
2019-12-16,Australia,France,3,2,Nations League
2019-12-17,Ukraine,Serbia,4,3,Friendly
2019-12-18,Uzbekistan,New Zealand,1,2,Friendly
2019-12-19,Egypt,England,4,3,WC Qualifier
2019-12-20,Uruguay,Canada,0,0,Continental Cup
2019-12-20,Peru,Qatar,0,0,Friendly
2019-12-21,Portugal,Canada,4,3,WC Qualifier
2019-12-22,Cape Verde,Uzbekistan,2,1,WC Qualifier
2019-12-23,United States,Uruguay,3,2,Continental Cup
2019-12-24,Panama,Tunisia,2,3,Nations League
2019-12-25,United States,Qatar,1,2,Continental Cup
2019-12-26,France,Switzerland,2,2,Nations League
2019-12-27,Costa Rica,Denmark,1,2,Nations League
2019-12-28,New Zealand,Germany,2,4,WC Qualifier
2019-12-29,Iran,Morocco,4,3,Nations League
2019-12-29,Uzbekistan,Japan,4,3,Nations League
2019-12-30,Iran,Wales,4,5,Nations League
2019-12-31,Costa Rica,Portugal,1,2,Continental Cup
2020-01-01,Curacao,Mexico,2,1,Continental Cup
2020-01-02,Morocco,Saudi Arabia,1,0,Nations League
2020-01-03,Croatia,Algeria,1,2,Nations League
2020-01-04,Portugal,Netherlands,1,2,Continental Cup
2020-01-05,Jordan,Turkey,2,3,Nations League
2020-01-06,United States,Saudi Arabia,2,0,Friendly
2020-01-07,Uzbekistan,Turkey,2,1,Continental Cup
2020-01-08,Canada,Saudi Arabia,3,3,Continental Cup
2020-01-08,Argentina,Senegal,0,0,Nations League
2020-01-09,Iran,Scotland,1,2,WC Qualifier
2020-01-10,Cape Verde,Scotland,0,1,Friendly
2020-01-11,Italy,Wales,4,3,Friendly
2020-01-12,Turkey,Croatia,1,3,Nations League
2020-01-13,Italy,Tunisia,3,2,WC Qualifier
2020-01-14,Morocco,Qatar,1,2,Friendly
2020-01-15,Portugal,Costa Rica,2,0,Nations League
2020-01-16,Panama,Germany,0,0,Friendly
2020-01-17,Scotland,England,1,3,Friendly
2020-01-17,Colombia,Netherlands,2,1,WC Qualifier
2020-01-18,Costa Rica,Canada,2,2,Friendly
2020-01-19,Denmark,Argentina,1,0,Friendly
2020-01-20,Switzerland,Australia,1,1,WC Qualifier
2020-01-21,New Zealand,Uruguay,0,1,Friendly
2020-01-22,Brazil,South Korea,2,0,Friendly
2020-01-23,Scotland,Uruguay,5,6,WC Qualifier
2020-01-24,Turkey,Nigeria,2,4,WC Qualifier
2020-01-25,Jamaica,South Korea,0,3,Friendly
2020-01-26,Serbia,Algeria,2,0,Friendly
2020-01-26,Brazil,Scotland,3,0,Friendly
2020-01-27,New Zealand,France,0,1,Friendly
2020-01-28,Saudi Arabia,Netherlands,1,6,WC Qualifier
2020-01-29,Ecuador,Egypt,1,2,WC Qualifier
2020-01-30,England,Egypt,0,1,Continental Cup
2020-01-31,France,Croatia,3,2,Continental Cup
2020-02-01,Qatar,United States,0,0,Friendly
2020-02-02,Germany,Ecuador,4,0,WC Qualifier
2020-02-03,Croatia,France,1,1,Continental Cup
2020-02-04,Panama,Canada,0,0,Friendly
2020-02-05,Egypt,Tunisia,1,2,Nations League
2020-02-05,Canada,Saudi Arabia,2,2,WC Qualifier
2020-02-06,Brazil,Uzbekistan,2,0,Friendly
2020-02-07,New Zealand,Mexico,0,3,WC Qualifier
2020-02-08,Saudi Arabia,Senegal,2,3,WC Qualifier
2020-02-09,Austria,Nigeria,1,0,Nations League
2020-02-10,Qatar,Mexico,4,3,WC Qualifier
2020-02-11,Curacao,Denmark,2,3,Continental Cup
2020-02-12,Brazil,Ecuador,2,0,Friendly
2020-02-13,Italy,Poland,2,3,Continental Cup
2020-02-14,Belgium,Netherlands,2,2,WC Qualifier
2020-02-14,Senegal,Nigeria,3,1,Continental Cup
2020-02-15,Spain,South Korea,2,3,WC Qualifier
2020-02-16,Colombia,England,1,2,Friendly
2020-02-17,Costa Rica,Switzerland,0,1,Friendly
2020-02-18,Turkey,Uzbekistan,4,3,WC Qualifier
2020-02-19,Switzerland,Denmark,2,1,WC Qualifier
2020-02-20,Netherlands,Nigeria,2,1,Friendly
2020-02-21,Qatar,South Korea,3,2,WC Qualifier
2020-02-22,Australia,Argentina,0,1,Nations League
2020-02-23,Uruguay,France,1,1,Friendly
2020-02-23,Uruguay,Austria,1,2,Friendly
2020-02-24,Spain,Morocco,1,0,WC Qualifier
2020-02-25,Denmark,Colombia,0,2,WC Qualifier
2020-02-26,Curacao,Germany,0,1,Nations League
2020-02-27,Saudi Arabia,Peru,3,3,WC Qualifier
2020-02-28,Saudi Arabia,New Zealand,3,2,Friendly
2020-02-29,Nigeria,New Zealand,2,1,Nations League
2020-03-01,Austria,Germany,3,4,Friendly
2020-03-02,Wales,Ukraine,1,2,WC Qualifier
2020-03-03,Portugal,Japan,1,0,WC Qualifier
2020-03-04,Iran,Austria,2,3,Friendly
2020-03-04,Nigeria,South Korea,2,1,Friendly
2020-03-05,Algeria,Panama,2,1,WC Qualifier
2020-03-06,Costa Rica,Switzerland,0,2,Nations League
2020-03-07,Nigeria,Spain,2,4,WC Qualifier
2020-03-08,Egypt,Mexico,4,4,WC Qualifier
2020-03-09,Chile,Ecuador,2,3,WC Qualifier
2020-03-10,Chile,England,1,2,WC Qualifier
2020-03-11,Austria,Serbia,2,0,WC Qualifier
2020-03-12,United States,Uruguay,1,1,WC Qualifier
2020-03-13,Croatia,Italy,2,0,Friendly
2020-03-13,Cape Verde,Serbia,2,3,WC Qualifier
2020-03-14,Iran,Cape Verde,1,2,Nations League
2020-03-15,Qatar,Curacao,1,0,WC Qualifier
2020-03-16,England,Uruguay,2,0,Nations League
2020-03-17,Tunisia,Peru,2,1,WC Qualifier
2020-03-18,Brazil,Algeria,1,0,Friendly
2020-03-19,Algeria,Panama,2,1,Continental Cup
2020-03-20,England,United States,0,0,Friendly
2020-03-21,Ecuador,Jordan,2,1,Nations League
2020-03-22,Brazil,Tunisia,1,0,WC Qualifier
2020-03-22,Peru,Saudi Arabia,3,3,Nations League
2020-03-23,Morocco,France,1,2,WC Qualifier
2020-03-24,Italy,France,3,2,Nations League
2020-03-25,Uzbekistan,Peru,2,4,Continental Cup
2020-03-26,Denmark,Egypt,2,1,Friendly
2020-03-27,Australia,Egypt,2,1,Nations League
2020-03-28,Cape Verde,France,1,2,Friendly
2020-03-29,Algeria,Wales,1,1,Continental Cup
2020-03-30,Saudi Arabia,Germany,0,0,WC Qualifier
2020-03-31,Germany,Switzerland,2,2,WC Qualifier
2020-03-31,New Zealand,Ukraine,2,3,Friendly
2020-04-01,Iran,Scotland,2,2,WC Qualifier
2020-04-02,Argentina,Brazil,1,0,WC Qualifier
2020-04-03,Australia,Saudi Arabia,5,4,Continental Cup
2020-04-04,Iran,Portugal,4,3,WC Qualifier
2020-04-05,Canada,Algeria,3,3,Friendly
2020-04-06,Peru,Uruguay,0,0,WC Qualifier
